PlantCode,SkuCode,ParentSkuCode,ProposedQty,UnitPrice,UnitPerCase,AllocationCode,Allocatedqty,InQTY,SkuFlag,CustomerPDP,Createdby,CustomerCode,Ponumber,PoDate,AllocationCode1,AllocatedQty_TO,Sales Unit,DeliveryDate,ReasonCode,StorageLocation,SUB,CustomerType(SD/DD),ASMCode,CustomerType,ShrinkSize,CustomerPDP1,TrapZone,MOQ,Brand,Batchno,RemLife,ChildSku_Code,ChildSku_AllocatedQty,
D676,721579,718297,24.00,6180.72,384,721579,24.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721579,24.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,721004,718299,46.00,5858.52,192,721004,46.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721004,46.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,721618,718300,5.00,4539.84,192,720203,5.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720203,5.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO FLEX,,,,,
D676,717901,718301,2.00,3654,480,717901,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,717901,2.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,PCNO FLEX,,,,,
D676,721026,718309,11.00,6564.2,40,721026,11.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721026,11.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,704395,718312,100.00,320.1,20,704395,100.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,704395,100.00,NOS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,719383,718316,1.00,7517.56,288,724098,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,724098,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,H&C,,,,,
D676,719387,718317,72.00,48.38,144,719387,72.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,719387,72.00,NOS,20230908,M1,MA01,LCO,DD,CMB,0,1,2,,,H&C,,,,,
D676,700251,718325,2.00,3791,270,700251,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,700251,2.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,REV.ST.,,,,,
D676,706720,718328,39.00,3090.4,20,706720,39.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,706720,39.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF KOCO,,,,,
D676,700487,718339,15.00,2872.76,24,700487,15.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,700487,15.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,KERALA,,,,,
D676,723339,718341,4.00,3306.2,20,716986,4.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,716986,4.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF GOLD,,,,,
D676,720472,718343,1.00,14178.36,72,720472,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720472,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,HC SNS,,,,,
D676,720474,718344,1.00,10180.04,108,720474,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720474,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,HC SNS,,,,,
D676,721005,718345,24.00,4638.92,576,721005,24.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721005,24.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,720475,718355,1.00,11830.28,288,720475,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720475,1.00,CS,20230908,MOQ not met,MA01,LCO,DD,CMB,0,1,2,,,HC SNS,,,,,
D676,702692,718371,1.00,3323.2,80,702692,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,702692,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,MALT-NATU,,,,,
D676,722256,718381,1.00,5009.12,144,722256,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722256,1.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,NIHAR NHO,,,,,
D676,721021,718382,1.00,4758.72,72,721021,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721021,1.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,NIHAR NHO,,,,,
D676,716223,718398,6.00,3103.2,20,716223,6.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,716223,6.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF ACTV,,,,,
D676,721027,718443,11.00,6439.8,80,724879,11.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,724879,11.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,704729,718448,1.00,5334.2,60,704729,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,704729,1.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,716786,718449,5.00,89.49,30,716786,5.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,716786,5.00,NOS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PADV-HOT,,,,,
D676,717220,718450,1.00,44.82,60,717220,1.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,717220,1.00,NOS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PADV-HOT,,,,,
D676,715549,718464,9.00,2251.7,30,715549,9.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,715549,9.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,SAFF OATS,,,,,
D676,723072,718465,30.00,1379.92,8,723072,30.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,723072,30.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF OATS,,,,,
D676,721649,718471,1.00,3025.2,120,721534,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721534,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,ADV-AHO-R,,,,,
D676,721533,718472,1.00,3025.2,60,721533,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721533,1.00,CS,20230908,M1,MA01,LCO,DD,CMB,0,1,2,,,ADV-AHO-R,,,,,
D676,721542,718473,3.00,2924.2,30,721542,3.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721542,3.00,CS,20230908,MOQ not met,MA01,LCO,DD,CMB,0,1,2,,,ADV-AHO-R,,,,,
D676,722310,718523,1.00,5772.68,144,722310,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722310,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,SW HRGEL,,,,,
D676,708029,718618,1.00,4124.36,48,708029,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,708029,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PA-ALO-HO,,,,,
D676,721473,718646,12.00,140.04,108,721473,12.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,721473,12.00,NOS,20230908,M1,MA01,LCO,DD,CMB,0,1,2,,,LIVON S-R,,,,,
D676,721476,718647,12.00,260.27,72,721476,12.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,721476,12.00,NOS,20230908,M1,MA01,LCO,DD,CMB,0,1,2,,,LIVON S-R,,,,,
D676,721430,718783,48.00,242.37,72,721430,48.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,721430,48.00,NOS,20230908,MOQ not met,MA01,LCO,DD,CMB,0,1,2,,,LVN_SR_DR,,,,,
D676,721423,718785,12.00,150.63,108,721423,12.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,721423,12.00,NOS,20230908,MOQ not met,MA01,LCO,DD,CMB,0,1,2,,,LVN_SR_DR,,,,,
D676,721173,718834,1.00,3224.16,48,721173,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721173,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,SW_HR_WAX,,,,,
D676,713946,718849,1.00,3487.84,48,713946,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,713946,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PADV-HRCR,,,,,
D676,722122,718975,1.00,8627.2,40,722122,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722122,1.00,CS,20230908,MOQ not met,MA01,LCO,DD,CMB,0,1,2,,,PA_CN_HO,,,,,
D676,722121,718980,1.00,6091,100,722121,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722121,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PA_CN_HO,,,,,
D676,722120,718996,1.00,7197.84,192,722120,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722120,1.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,PA_CN_HO,,,,,
D676,721721,719008,5.00,3634.4,6,721721,5.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721721,5.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,SAFF GOLD,,,,,
D676,722117,719084,1.00,9051.88,48,722117,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722117,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,PA_CN_HO,,,,,
D676,722200,722325,2.00,5206.16,144,722200,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722200,2.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,722194,722326,4.00,5146.04,36,722194,4.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722194,4.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,722196,722327,2.00,5328.12,72,722196,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722196,2.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,722197,722328,2.00,5206.16,144,722197,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722197,2.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,722198,722329,2.00,5146.04,36,722198,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722198,2.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,722199,722330,2.00,5328.12,72,722199,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,722199,2.00,CS,20230908,M1,MA01,,DD,CMB,0,1,2,,,REV_LQFRG,,,,,
D676,808119,808276,42.00,36.18,72,808119,42.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,808119,42.00,NOS,20230908,FS,MA01,,DD,CMB,0,1,2,,,SAF_MAYO,,,,,
D676,808744,808712,4.00,1758.72,24,808744,4.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,808744,4.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,SAF_HONEY,,,,,
D676,808720,808719,1.00,1927.22,6,808720,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,808720,1.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,SAF_HONEY,,,,,
D676,808722,808721,6.00,2239.19,9,808722,6.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,808722,6.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,SAF_HONEY,,,,,
D676,808732,808731,3.00,1976.44,12,808732,3.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,808732,3.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,SAF_HONEY,,,,,
D676,717051,718288,4.00,4048.92,4,717051,4.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,717051,4.00,CS,20230908,FS,MA01,CO,DD,MCS2,0,1,2,,,SAFF GOLD,,,717052,16,
D676,721579,718297,2.00,6500.08,384,721579,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721579,2.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,721004,718299,5.00,6176.88,192,721004,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721004,5.00,CS,20230908,FS,MA01,LCO,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,704395,718312,3.00,6767.6,20,704395,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,704395,3.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,704726,718447,1.00,4068.9,30,704726,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,704726,1.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,PADV-HOT,,,,,
D676,716786,718449,1.00,2797.6,30,716786,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,716786,1.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,PADV-HOT,,,,,
D676,722307,718525,1.00,5519.84,72,722307,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,722307,1.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,SW HRGEL,,,,,
D676,721473,718646,2.00,13638.16,108,721473,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721473,2.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,LIVON S-R,,,,,
D676,721535,718651,5.00,4136.6,60,721535,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721535,5.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,ADV-AHO-R,,,,,
D676,721536,718708,4.00,3619.9,30,721536,4.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721536,4.00,CS,20230908,MOQ not met,MA01,,DD,MCS2,0,1,2,,,ADV-AHO-R,,,,,
D676,720522,719272,5.00,2493.24,144,720522,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,720522,5.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAFF_ODLS,,,,,
D676,720574,719333,5.00,1828.72,24,720574,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,720574,5.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAFF_ODLS,,,,,
D676,721360,721427,5.00,2304.24,16,721360,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,721360,5.00,CS,20230908,FS,MA01,CO,DD,MCS2,0,1,2,,,SAFF OATS,,,,,
D676,807225,807302,2.00,1673.75,25,807225,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,807225,2.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SF_SOYACN,,,,,
D676,808134,808270,3.00,3571.88,24,808134,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808134,3.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_PNBTR,,,,,
D676,808131,808271,3.00,3571.88,24,808131,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808131,3.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_PNBTR,,,,,
D676,808127,808275,3.00,1989.6,12,808127,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808127,3.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_MAYO,,,,,
D676,808119,808276,5.00,2755.24,72,808119,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808119,5.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_MAYO,,,,,
D676,808846,808522,5.00,2483,60,808846,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808846,5.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SF_SOYACN,,,,,
D676,808733,808713,10.00,1776.76,24,808733,10.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808733,10.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_HONEY,,,,,
D676,808718,808717,5.00,1973.8,12,808718,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230908,808718,5.00,CS,20230908,FS,MA01,,DD,MCS2,0,1,2,,,SAF_HONEY,,,,,
